model,label,precision,recall,f1-score,support
dual_branch_cnn,legitimate,0.9734818766671897,0.9855440826052423,0.9794758446479318,6295
dual_branch_cnn,phishing,0.9461219656601539,0.9043576683644595,0.9247685185185185,1767
dual_branch_cnn,macro avg,0.9598019211636718,0.9449508754848509,0.9521221815832251,8062
dual_branch_cnn,weighted avg,0.9674852303326037,0.96774993798065,0.9674852907815619,8062
dual_branch_cnn,accuracy,,,0.96774993798065,8062
baseline_tfidf_logreg,legitimate,0.9806462194521895,0.9498014297061159,0.9649774047772757,6295
baseline_tfidf_logreg,phishing,0.8391857506361323,0.9332201471420487,0.8837084673097535,1767
baseline_tfidf_logreg,macro avg,0.9099159850441609,0.9415107884240823,0.9243429360435146,8062
baseline_tfidf_logreg,weighted avg,0.9496414255551451,0.9461672041677003,0.9471651730103305,8062
baseline_tfidf_logreg,accuracy,,,0.9461672041677003,8062
html_cnn,legitimate,0.9682868525896414,0.965210484511517,0.9667462211614957,6295
html_cnn,phishing,0.8774482372691662,0.8873797396717601,0.8823860438942037,1767
html_cnn,macro avg,0.9228675449294038,0.9262951120916385,0.9245661325278497,8062
html_cnn,weighted avg,0.9483771734441093,0.9481518233688911,0.9482564626361539,8062
html_cnn,accuracy,,,0.9481518233688911,8062
url_lstm,legitimate,0.9683756588404409,0.9631453534551231,0.9657534246575342,6295
url_lstm,phishing,0.8711826762909495,0.8879456706281834,0.8794843049327354,1767
url_lstm,macro avg,0.9197791675656952,0.9255455120416533,0.9226188647951348,8062
url_lstm,weighted avg,0.9470732524691992,0.946663358967998,0.9468452710289409,8062
url_lstm,accuracy,,,0.946663358967998,8062
url_cnn,legitimate,0.9656215183829381,0.963780778395552,0.9647002703132453,6295
url_cnn,phishing,0.8718381112984823,0.8777589134125636,0.8747884940778342,1767
url_cnn,macro avg,0.9187298148407101,0.9207698459040579,0.9197443821955398,8062
url_cnn,weighted avg,0.9450664104297958,0.9449268171669561,0.9449937324060298,8062
url_cnn,accuracy,,,0.9449268171669561,8062
baseline_random_forest,legitimate,0.9357142857142857,0.915647339158062,0.92557205941389,6295
baseline_random_forest,phishing,0.7208201892744479,0.7758913412563667,0.7473426001635323,1767
baseline_random_forest,macro avg,0.8282672374943668,0.8457693402072144,0.8364573297887111,8062
baseline_random_forest,weighted avg,0.8886145749217784,0.8850161250310097,0.8865083711857353,8062
baseline_random_forest,accuracy,,,0.8850161250310097,8062
