model,label,precision,recall,f1-score,support
phish360_tri_branch_cnn,legitimate,0.8996113989637305,0.9266177451634423,0.912914886625041,1499
phish360_tri_branch_cnn,phishing,0.909688013136289,0.8772763262074426,0.8931882305521968,1263
phish360_tri_branch_cnn,macro avg,0.9046497060500098,0.9019470356854424,0.903051558588619,2762
phish360_tri_branch_cnn,weighted avg,0.9042192062410445,0.9040550325850832,0.9038943339023754,2762
phish360_tri_branch_cnn,accuracy,,,0.9040550325850832,2762
phish360_dual_branch_cnn,legitimate,0.8607755880483153,0.9032688458972649,0.8815104166666667,1499
phish360_dual_branch_cnn,phishing,0.8780487804878049,0.8266033254156769,0.8515497553017944,1263
phish360_dual_branch_cnn,macro avg,0.8694121842680601,0.864936085656471,0.8665300859842306,2762
phish360_dual_branch_cnn,weighted avg,0.8686742274585525,0.8682114409847936,0.8678100852749817,2762
phish360_dual_branch_cnn,accuracy,,,0.8682114409847936,2762
phish360_url_cnn,legitimate,0.8498422712933754,0.8985990660440294,0.8735408560311285,1499
phish360_url_cnn,phishing,0.8708581138487681,0.8115597783056215,0.8401639344262296,1263
phish360_url_cnn,macro avg,0.8603501925710717,0.8550794221748255,0.8568523952286791,2762
phish360_url_cnn,weighted avg,0.8594523397754394,0.8587979724837075,0.8582783462603147,2762
phish360_url_cnn,accuracy,,,0.8587979724837075,2762
phish360_url_lstm,legitimate,0.8783403656821378,0.8332221480987325,0.8551865799383772,1499
phish360_url_lstm,phishing,0.8134328358208955,0.8630245447347585,0.8374951978486361,1263
phish360_url_lstm,macro avg,0.8458866007515167,0.8481233464167455,0.8463408888935067,2762
phish360_url_lstm,weighted avg,0.8486596233886008,0.8468501086169442,0.8470967118792377,2762
phish360_url_lstm,accuracy,,,0.8468501086169442,2762
phish360_screenshot_cnn,legitimate,0.8967596081386586,0.7938625750500333,0.8421797593772115,1499
phish360_screenshot_cnn,phishing,0.7846689895470383,0.8915281076801267,0.8346923647146034,1263
phish360_screenshot_cnn,macro avg,0.8407142988428484,0.84269534136508,0.8384360620459075,2762
phish360_screenshot_cnn,weighted avg,0.8455031087609552,0.8385228095582911,0.8387559434978218,2762
phish360_screenshot_cnn,accuracy,,,0.8385228095582911,2762
phish360_html_cnn,legitimate,0.7170385395537525,0.9432955303535691,0.8147507922788821,1499
phish360_html_cnn,phishing,0.8924050632911392,0.5581947743467933,0.6867998051631758,1263
phish360_html_cnn,macro avg,0.8047218014224459,0.7507451523501811,0.750775298721029,2762
phish360_html_cnn,weighted avg,0.7972296762229487,0.7671976828385229,0.7562417058461749,2762
phish360_html_cnn,accuracy,,,0.7671976828385229,2762
